5 Passage Bullourde, Paris, France, 75011, 48.841463, 2.3614006
32 AVENUE ALSACE LORRAINE, Bourg En Bresse, France, 1000, 46.201858, 5.220548
15 RUE DU 8 MAI 1945, Oyonnax, France, 1100, 46.257495, 5.657719
4 PLACE D ARMES, Nantua, France, 1130, 46.152387, 5.60726
BOULEVARD DU MAIL, Belley, France, 1300, 45.760258, 5.689032
1 RUE DU PALAIS, Trevoux, France, 1600, 45.941047, 4.777244
PLACE DU PARVIS, Laon, France, 2000, 49.564376, 3.62388
PLACE AUBRY, Laon, France, 2000, 49.564854, 3.624967
3 PLACE AUBRY, Laon, France, 2000, 49.564893, 3.624947
43 RUE SERURIER, Laon, France, 2000, 49.564905, 3.623033
RUE VICTOR BASCH, St Quentin, France, 2100, 49.847631, 3.285014
PLACE GRACCHUS BABEUF, St Quentin, France, 2100, 49.848055, 3.285595
76 RUE SAINT-MARTIN, Soissons, France, 2200, 49.380398, 3.328084
16 RUE DIDEROT, Moulins, France, 3000, 46.567392, 3.332664
20 RUE DE PARIS, Moulins, France, 3000, 46.568443, 3.33052
114 BOULEVARD DE COURTAIS, Montlucon, France, 3100, 46.339828, 2.607792
26 BOULEVARD CARNOT, Vichy, France, 3200, 46.123178, 3.425244
RUE DU DRAPEAU, Cusset, France, 3300, 46.130871, 3.460498
RUE DU BIEF, Cusset, France, 3300, 46.135509, 3.450082
6 PLACE DES CORDELIERS, Digne Les Bains, France, 4000, 44.093959, 6.237381
PLACE DES RECOLLETS, Digne Les Bains, France, 4000, 44.094084, 6.237557
22 BOULEVARD VICTOR HUGO, Digne Les Bains, France, 4000, 44.094736, 6.235862
9 RUE GEORGES MARTIN, Manosque, France, 4100, 43.830619, 5.805366
RUE DES TANNEURS, Manosque, France, 4100, 43.831304, 5.784737
PLACE SAINT-ARNOUX, Gap, France, 5000, 44.557754, 6.077422
18 AVENUE DES FLEURS, Nice, France, 6000, 43.698056, 7.253727
6 RUE DESIRE NIEL, Nice, France, 6000, 43.700078, 7.275963
5 RUE PROVANA DE LEYNI, Nice, France, 6000, 43.702468, 7.271409
37 AVENUE PIERRE SEMARD, Grasse, France, 6130, 43.65631, 6.926526
PLACE DU PALAIS DE JUSTICE, Nice, France, 6300, 43.696596, 7.273863
19 BOULEVARD CARNOT, Cannes, France, 6400, 43.556262, 7.016785
7 RUE PRATO, Menton, France, 6500, 43.774094, 7.499269
60 BIS 2EME AVENUE, Antibes, France, 6600, 43.600315, 7.093001
60 DEUXIEME AVENUE, Antibes, France, 6600, 43.600769, 7.091455
100 AVENUE CYRILLE BESSET, Cagnes Sur Mer, France, 6800, 43.659273, 7.161653
2 AVENUE DE L EUROPE UNIE, Privas, France, 7000, 44.733942, 4.59798
10 COURS DU PALAIS, Privas, France, 7000, 44.734712, 4.601013
COURS DU PALAIS, Privas, France, 7000, 44.735271, 4.598673
26 BOULEVARD DE LA REPUBLIQUE, Annonay, France, 7100, 45.243773, 4.673844
10 RUE GEORGES COUDERC, Aubenas, France, 7200, 44.61705, 4.389412
9 ESPLANADE DU PALAIS DE JUSTICE, Charleville Mezieres, France, 8000, 49.760944, 4.722245
12 RUE MME DE SEVIGNE, Charleville Mezieres, France, 8000, 49.771206, 4.717254
20 RUE DE L ARQUEBUSE, Charleville Mezieres, France, 8000, 49.771296, 4.721572
2 RUE DE LA COMEDIE, Sedan, France, 8200, 49.702183, 4.943931
1 RUE DE LA COMEDIE, Sedan, France, 8200, 49.702321, 4.944001
14 BOULEVARD DU SUD, Foix, France, 9000, 42.952864, 1.612271
14 RUE DU ROCHER, Foix, France, 9000, 42.966234, 1.605181
RUE RENEE DEJEAN, St Girons, France, 9200, 42.982726, 1.143763
18 RUE POINCARE, Verdun, France, 9310, 49.156905, 5.388999
PLACE SAINT-PAUL, Verdun, France, 9310, 49.163996, 5.384389
1 RUE BEGAND, Troyes, France, 10000, 48.294811, 4.065073
IMPASSE JEAN SIMON, Troyes, France, 10000, 48.296156, 4.069278
